ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
62,TPS6281120QWRWYRQ1,U71,VQFN-HR-9_L3.0-W2.0-P0.50-BL,1,TPS6281120QWRWYRQ1,TI(德州仪器),LCSC,C2869840
63,0Ω,R89,R0603,1,HCJ0603ZT0R00,SEI(Stackpole Electronics Inc.),LCSC,C346500
64,10Ω,"R103,R110,R102,R109,R117,R111,R118,R112,R119,R125,R126,R120",R0402,12,RC0402FR-0710RL,YAGEO(国巨),LCSC,C138066
65,0Ω,"R108,R107,R113,R116,R124,R123",R0402,6,SCR0402J0R,VO(翔胜),LCSC,C3017451
66,5mΩ,"R105,R106",R1206,2,CSRF1206FT5L00,SEI(Stackpole Electronics Inc.),LCSC,C346482
67,10mΩ,"R114,R122,R115,R121",R1206,4,RTT06R010FTP,RALEC(旺诠),LCSC,C104920
68,INA231AIYFDR,"U61,U62,U63,U64,U65,U66",DSBGA-12_L1.6-W1.4-R4-C3-P0.40-TL,6,INA231AIYFDR,TI(德州仪器),LCSC,C2653841
69,AT24C512C-MAHM-T,U69,TDFN-8_L3.0-W2.0-P0.50-TL-EP,1,AT24C512C-MAHM-T,MICROCHIP(美国微芯),LCSC,C2980241
70,AM6852ATGGHAALZR,U68,BGA770C80P28X28_2300X2300X257,1,,,,
71,IS43LQ32256A-062BLI_,"U53,U52",BGA200C65P12X22_1000X1450X110,2,,,LCSC,C17416862
72,CON_EDGE260_2309413-1,J4,SODIMM:SODIMM_DDR4_EDGE,1,,,,
